player_name_clean,season_transfer_flag,league_canonical,stats_club,stats_position,stats_age,salary_target_eur,salary_target_total_gross_eur,stats_nation,matches,starts,minutes,nineties,goals,shots,shots_on_target,shot_on_target_pct,assists,penalty_attempts,key_passes,passes_into_final_third,passes_into_penalty_area,goal_creating_actions,tackles,tackles_won,blocks,interceptions,salary_status,salary_active,salary_loan,salary_verified,salary_weekly_gross_eur,salary_weekly_net_eur,salary_annual_net_eur,salary_weekly_gross_gbp,salary_annual_gross_gbp,salary_weekly_net_gbp,salary_annual_net_gbp,salary_weekly_gross_usd,salary_annual_gross_usd,salary_weekly_net_usd,salary_annual_net_usd,salary_bonus_gross_eur,salary_bonus_gross_gbp,salary_bonus_gross_usd,salary_bonus_net_eur,salary_bonus_net_gbp,salary_bonus_net_usd,salary_total_gross_gbp,salary_total_gross_usd,salary_total_net_eur,salary_total_net_gbp,salary_total_net_usd
Alejandro Balde,False,La Liga,Barcelona,DF,21.0,1670000,2090000,es ESP,28,21,1869,20.8,0,2,2,0.0,0,0,0,0,0,78,24,25,25,21,Active,True,False,False,32115,15385,800000,27794,1445284,13314,692352,37002,1924090,17725,921720,420000.0,363485.0,483903.0,200000.0,173088.0,230430.0,1808768,2407993,1000000,865439,1152150
Andreas Christensen,False,La Liga,Barcelona,DF,29.0,9000000,13000000,dk DEN,13,3,409,4.5,0,0,0,0.0,0,0,0,0,0,90,9,2,3,3,Active,True,False,True,173077,83077,4320000,149788,7788955,71898,3738699,199411,10369348,95717,4977287,4000000.0,3461758.0,4608599.0,1920000.0,1661644.0,2212128.0,11250713,14977947,6240000,5400342,7189414
Dani Olmo,False,La Liga,Barcelona,MF,27.0,12500000,14000000,es ESP,33,24,2067,23.0,7,8,15,7.0,0,0,0,0,0,75,17,39,42,23,Active,True,False,True,240385,115385,6000000,208038,10817993,99858,5192637,276959,14401872,132940,6912898,1500000.0,1298159.0,1728225.0,720000.0,623116.0,829548.0,12116153,16130096,6720000,5815753,7742446
Eric Garcia,False,La Liga,Barcelona,"DF,MF",24.0,8000000,10000000,es ESP,34,32,2721,30.2,1,1,2,1.0,0,0,0,0,0,83,22,56,24,44,Active,True,False,False,153846,73846,3840000,133145,6923516,63909,3323288,177254,9217198,85082,4424255,2000000.0,1730879.0,2304299.0,960000.0,830822.0,1106064.0,8654395,11521497,4800000,4154109,5530319
Fermin Lopez,False,La Liga,Barcelona,MF,22.0,7290000,8750000,es ESP,30,19,1797,20.0,6,9,15,6.0,0,0,0,0,0,75,18,36,20,22,Active,True,False,False,140192,67308,3500000,121328,6309054,58251,3029038,161523,8399172,77549,4032524,1460000.0,1263542.0,1682139.0,700000.0,605808.0,806505.0,7572595,10081310,4200000,3634846,4839029
Ferran Torres,False,La Liga,Barcelona,FW,25.0,10000000,13000000,es ESP,33,23,1965,21.8,16,2,18,16.0,0,0,0,0,0,74,20,30,20,6,Active,True,False,True,192308,92308,4800000,166431,8654395,79887,4154109,221567,11521497,106352,5530319,3000000.0,2596318.0,3456449.0,1440000.0,1246233.0,1659096.0,11250713,14977947,6240000,5400342,7189414
Frenkie de Jong,False,La Liga,Barcelona,MF,28.0,19000000,25210000,nl NED,25,16,1636,18.2,1,5,6,1.0,0,0,0,0,0,88,21,22,26,19,Active,True,False,True,365385,175385,9120000,316218,16443350,151785,7892808,420978,21890845,202069,10507606,6210000.0,5374379.0,7154850.0,2980000.0,2579010.0,3433406.0,21817729,29045695,12100000,10471818,13941012
Gavi,False,La Liga,Barcelona,MF,20.0,9380000,11730000,es ESP,11,7,573,6.4,0,1,1,0.0,0,0,0,0,0,69,6,9,14,8,Active,True,False,False,180385,86538,4500000,156112,8117822,74894,3894478,207830,10807165,99705,5184674,2350000.0,2033783.0,2707552.0,1130000.0,977947.0,1301929.0,10151605,13514716,5630000,4872424,6486603
Gerard Martin,False,La Liga,Barcelona,DF,23.0,1560000,1960000,es ESP,32,26,2119,23.5,0,0,0,0.0,0,0,0,0,0,79,16,42,7,29,Active,True,False,False,30000,14423,750000,25963,1350086,12482,649080,34564,1797354,16618,864112,400000.0,346176.0,460860.0,190000.0,164433.0,218908.0,1696261,2258213,940000,813513,1083021
Joan Garcia,False,La Liga,Barcelona,GK,24.0,6250000,7810000,es ESP,30,30,2700,30.0,0,0,0,0.0,27,58,1,2,15,90,21,60,4,4,Active,True,False,True,120192,57692,3000000,104019,5408997,49929,2596318,138480,7200936,66470,3456449,1560000.0,1350086.0,1797354.0,750000.0,649080.0,864112.0,6759082,8998289,3750000,3245398,4320562
