player_id,stats_row_id,player_name,nation,team,league,league_country,position,position_group,age,matches_played,starts,minutes,nineties,salary_annual_gross_eur,salary_total_gross_eur,salary_status,salary_active,salary_loan,salary_verified,salary_available,score_available,minutes_bucket,data_quality_note,attack_score,shooting_score,chance_creation_score,progressive_pass_score,creative_pass_score,pressing_score,defensive_action_score,ball_winning_score,build_up_score,aerial_defense_score,goalkeeper_score,role_fit_finisher,role_fit_pressing_forward,role_fit_creative_midfielder,role_fit_progressive_passer,role_fit_ball_winning_midfielder,role_fit_ball_playing_defender,role_fit_defensive_stopper,role_fit_shot_stopper,overall_role_score,current_salary_annual_gross_eur,performance_percentile_by_position,salary_percentile_by_position,salary_percentile_by_league,minutes_percentile_by_position,salary_efficiency_score,predicted_next_salary_annual_gross_eur,predicted_next_salary_log,prediction_model_version,prediction_confidence,salary_gap_eur,salary_gap_pct,salary_value_score,salary_value_status,salary_value_label,value_reason_summary
2025-2026|bundesliga|augsburg|aimandardari,STAT-11846,Aiman Dardari,lu LUX,Augsburg,Bundesliga,Germany,MF,MF,20,3,0,34,0.4,80000,101000,Inactive,false,false,false,true,true,low_sample,low_minutes;missing_safe_stats:1;passing_proxy_limited,36.03,36.2,26.76,53.66,40.26,70.67,28.2,8.08,34.43,53.37,11.84,36.15,51.78,38.21,45.01,27.64,38.64,30.72,0.0,38.21,80000,9.3,0.52,0.2,5.5,54.33,380000,,baseline_percentile_v1,60,300000,375,90.71,fair,적정,"같은 포지션 기준 성능 percentile은 9.3, 연봉 percentile은 0.5로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 375.0%입니다. 현재 분류는 적정이며 예측 신뢰도는 60.0/100입니다."
2025-2026|bundesliga|augsburg|alexisclaudemaurice,STAT-11761,Alexis Claude-Maurice,fr FRA,Augsburg,Bundesliga,Germany,"MF,FW",MF,27,29,25,2097,23.3,1700000,2120000,Active,true,false,false,true,true,regular,passing_proxy_limited,68.07,79.27,37.8,41.16,40.51,54.79,72.03,63.08,51.49,60.74,76.9,75.91,62.22,39.59,45.81,64.55,53.53,66.41,0.0,62.22,1700000,87.39,52.39,58.4,79.22,87.92,5090000,,baseline_percentile_v1,90,3390000,199.41,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 87.4, 연봉 percentile은 52.4로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 199.4%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|bundesliga|augsburg|antonkade,STAT-12508,Anton Kade,de GER,Augsburg,Bundesliga,Germany,"MF,FW",MF,21,28,18,1743,19.4,750000,940000,Active,true,false,false,true,true,rotation,passing_proxy_limited,67.26,76.9,45.65,45.54,52.9,48.32,50.99,54.44,51.22,61.34,70.47,74.01,54.54,48.16,48.1,52.01,49.46,54.96,0.0,52.01,750000,52.95,22.59,28.69,68.47,82.21,1802542,,baseline_percentile_v1,90,1052542,140.34,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 53.0, 연봉 percentile은 22.6로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 140.3%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|bundesliga|augsburg|arnemaier,STAT-12800,Arne Maier,de GER,Augsburg,Bundesliga,Germany,MF,MF,26,1,0,4,0,1320000,1650000,Inactive,false,false,false,true,false,low_sample,low_minutes;missing_safe_stats:10;passing_proxy_limited,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,5.51,0.0,4.99,0.0,0.0,0.34,3.23,0.0,2.89,0.0,0.0,0.0,1320000,1.62,43.27,47.34,0.08,3.36,150000,,baseline_percentile_v1,50,-1170000,-88.64,0,overvalued,고평가,"같은 포지션 기준 성능 percentile은 1.6, 연봉 percentile은 43.3로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -88.6%입니다. 현재 분류는 고평가이며 예측 신뢰도는 50.0/100입니다."
2025-2026|bundesliga|augsburg|arthurchaves,STAT-11733,Arthur Chaves,br BRA,Augsburg,Bundesliga,Germany,DF,DF,24,11,9,829,9.2,570000,710000,Loan,true,true,false,true,true,limited,passing_proxy_limited,85.2,89.88,76.89,52.82,79.88,51.06,71.9,68.28,49.35,63.76,38.63,88.48,65.47,71.92,51.26,66.1,56.03,68.55,0.0,66.1,570000,91.96,14.93,19.47,35.05,100,7210167,,baseline_percentile_v1,85,6640167,1164.94,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 92.0, 연봉 percentile은 14.9로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 1164.9%입니다. 현재 분류는 저평가이며 예측 신뢰도는 85.0/100입니다."
2025-2026|bundesliga|augsburg|cedriczesiger,STAT-14031,Cedric Zesiger,ch SUI,Augsburg,Bundesliga,Germany,DF,DF,27,27,20,1816,20.2,2080000,2600000,Active,true,false,false,true,true,rotation,passing_proxy_limited,52.32,55.61,40.84,46.14,46.42,54.33,71.08,68.62,51.19,59.24,64.0,54.62,57.08,44.12,48.41,66.62,54.65,66.91,0.0,54.65,2080000,58.1,57.66,65.37,64.11,51.85,2102965,,baseline_percentile_v1,90,22965,1.1,50.84,fair,적정,"같은 포지션 기준 성능 percentile은 58.1, 연봉 percentile은 57.7로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 1.1%입니다. 현재 분류는 적정이며 예측 신뢰도는 90.0/100입니다."
2025-2026|bundesliga|augsburg|chrislainmatsima,STAT-12893,Chrislain Matsima,fr FRA,Augsburg,Bundesliga,Germany,DF,DF,23,18,17,1489,16.5,2260000,2830000,Active,true,false,false,true,true,rotation,passing_proxy_limited,70.79,75.43,58.19,42.82,60.01,35.01,46.95,61.94,47.04,36.3,55.11,74.04,48.13,54.98,44.72,51.31,45.75,47.5,0.0,48.13,2260000,30.13,60.88,69.47,53.06,19.56,940000,,baseline_percentile_v1,90,-1320000,-58.41,0.81,overvalued,고평가,"같은 포지션 기준 성능 percentile은 30.1, 연봉 percentile은 60.9로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -58.4%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|bundesliga|augsburg|dimitrisgiannoulis,STAT-12198,Dimitris Giannoulis,gr GRE,Augsburg,Bundesliga,Germany,MF,MF,29,27,25,1888,21,1320000,1650000,Active,true,false,false,true,true,rotation,passing_proxy_limited,59.87,67.23,37.72,36.46,35.25,39.57,58.22,65.78,48.0,56.67,76.64,65.02,49.39,36.54,41.65,57.89,47.09,59.65,0.0,49.39,1320000,42.44,43.27,47.34,73.89,51.56,1320000,,baseline_percentile_v1,90,0,0,49.46,fair,적정,"같은 포지션 기준 성능 percentile은 42.4, 연봉 percentile은 43.3로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 0.0%입니다. 현재 분류는 적정이며 예측 신뢰도는 90.0/100입니다."
2025-2026|bundesliga|augsburg|eliassaad,STAT-13510,Elias Saad,tn TUN,Augsburg,Bundesliga,Germany,"MF,FW",MF,25,10,7,497,5.5,940000,1180000,Inactive,false,false,false,true,true,limited,passing_proxy_limited,44.23,36.2,64.48,61.53,66.01,76.64,87.11,76.4,54.93,90.2,39.04,38.61,69.01,64.28,58.56,80.2,64.95,85.36,0.0,64.95,940000,92.16,31.89,36.07,28.05,100,7210167,,baseline_percentile_v1,80,6270167,667.04,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 92.2, 연봉 percentile은 31.9로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 667.0%입니다. 현재 분류는 저평가이며 예측 신뢰도는 80.0/100입니다."
2025-2026|bundesliga|augsburg|elvisrexhbeaj,STAT-13419,Elvis Rexhbe?aj,xk KVX,Augsburg,Bundesliga,Germany,MF,MF,27,26,10,1118,12.4,1510000,1890000,Active,true,false,false,true,true,rotation,passing_proxy_limited,57.35,60.05,51.42,48.42,58.34,51.12,51.26,45.18,48.5,49.24,49.99,59.24,53.02,53.09,48.46,48.5,49.17,49.13,0.0,49.17,1510000,40.82,49.26,54.51,50.77,41.64,1250000,,baseline_percentile_v1,90,-260000,-17.22,35.9,fair,적정,"같은 포지션 기준 성능 percentile은 40.8, 연봉 percentile은 49.3로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -17.2%입니다. 현재 분류는 적정이며 예측 신뢰도는 90.0/100입니다."
