player_id,player_name,season,league,team,position,position_group,age,nation,salary_annual_gross_eur,salary_available,score_available,matches_played,starts,minutes,nineties,minutes_bucket,data_quality_note,goals,assists,shots,shots_on_target,shot_on_target_pct,key_passes,goal_creating_actions,shot_creating_actions,tackles,tackles_won,blocks,interceptions,recoveries,attack_score,shooting_score,chance_creation_score,progressive_pass_score,creative_pass_score,pressing_score,defensive_action_score,ball_winning_score,build_up_score,aerial_defense_score,goalkeeper_score,overall_role_score,role_fit_finisher,role_fit_pressing_forward,role_fit_creative_midfielder,role_fit_progressive_passer,role_fit_ball_winning_midfielder,role_fit_ball_playing_defender,role_fit_defensive_stopper,role_fit_shot_stopper,current_salary_annual_gross_eur,predicted_next_salary_annual_gross_eur,prediction_model_version,prediction_confidence,salary_gap_eur,salary_gap_pct,salary_value_score,salary_value_status,salary_value_label,salary_efficiency_score,performance_percentile_by_position,salary_percentile_by_position,salary_percentile_by_league,minutes_percentile_by_position,value_reason_summary,similarity_vector_available,similarity_base_score,style_attack_score,style_passing_score,style_defense_score,style_value_score,age_band,salary_band,minutes_band,is_u23,is_prime_age,is_veteran,is_regular_1500min
2025-2026|bundesliga|augsburg|aimandardari,Aiman Dardari,2025-2026,Bundesliga,Augsburg,MF,MF,20,lu LUX,80000,true,true,3,0,34,0.4,low_sample,shot_creating_actions_imputed;recoveries_imputed;low_minutes,0,0,0,0,0,0,0,0.91,0,0,1,0,3.03,37.74,30.49,71.67,100,62.22,5.09,24.21,32.6,61.57,25.97,0,32.66,32.66,20.34,75.44,82.71,24.16,63.76,26.84,0,80000,220000,baseline_percentile_v1_pending_model_fe,75,140000,175,87.7,fair,적정,49.46,4.72,0.56,0.21,2.96,baseline percentile compares role percentile 4.72 with salary percentile 0.56; final model result is pending.,true,32.66,37.74,76.86,24.21,87.7,u21,under_500k,low,true,false,false,false
2025-2026|bundesliga|augsburg|alexisclaudemaurice,Alexis Claude-Maurice,2025-2026,Bundesliga,Augsburg,"MF,FW",MF,27,fr FRA,1700000,true,true,29,25,2097,23.3,regular,shot_creating_actions_imputed;recoveries_imputed,5,0,4,9,4,0,80,0.91,43,-14,42,26,3.03,86.23,90.24,89.81,100,86.42,89.4,90.87,70.4,90.98,90.44,0,89.04,89.04,88.58,91.17,95.94,81.36,93.66,85.62,0,1700000,6480000,baseline_percentile_v1_pending_model_fe,75,4780000,281.18,100,undervalued,저평가,91.25,90.75,52.17,57.87,76.69,baseline percentile compares role percentile 90.75 with salary percentile 52.17; final model result is pending.,true,89.04,86.23,91.68,90.87,100,25_27,1_5m_3m,starter,false,true,false,true
2025-2026|bundesliga|augsburg|antonkade,Anton Kade,2025-2026,Bundesliga,Augsburg,"MF,FW",MF,21,de GER,750000,true,true,28,18,1743,19.4,rotation,shot_creating_actions_imputed;recoveries_imputed,6,0,0,6,6,0,81,0.91,35,-13,18,14,3.03,85.92,77.23,90.92,100,87.9,68.08,72.55,60.16,85.22,64.79,0,79.84,79.84,75.22,92.13,93.35,66.08,86.49,67.12,0,750000,2820000,baseline_percentile_v1_pending_model_fe,75,2070000,276,100,undervalued,저평가,97.78,68.83,22.48,27.66,64.29,baseline percentile compares role percentile 68.83 with salary percentile 22.48; final model result is pending.,true,79.84,85.92,92.59,72.55,100,u21,500k_1_5m,starter,true,false,false,true
2025-2026|bundesliga|augsburg|arnemaier,Arne Maier,2025-2026,Bundesliga,Augsburg,MF,MF,26,de GER,1320000,true,true,1,0,4,0,low_sample,shot_creating_actions_imputed;recoveries_imputed;low_minutes,0,0,0,0,0,0,0,0.91,0,0,0,1,3.03,37.74,30.49,71.67,100,62.22,5.12,24.42,33.37,61.11,24.8,0,32.66,32.66,20.4,75.44,82.5,24.59,63.6,26.77,0,1320000,220000,baseline_percentile_v1_pending_model_fe,75,-1100000,-83.33,0,overvalued,고평가,6.76,4.72,43.02,46.6,0.56,baseline percentile compares role percentile 4.72 with salary percentile 43.02; final model result is pending.,true,32.66,37.74,76.86,24.42,0,25_27,500k_1_5m,low,false,true,false,false
2025-2026|bundesliga|augsburg|arthurchaves,Arthur Chaves,2025-2026,Bundesliga,Augsburg,DF,DF,24,br BRA,570000,true,true,15,11,1069,11.9,rotation,shot_creating_actions_imputed;recoveries_imputed,2,0,0,2,2,0,174,0.91,19,-2,11,18,3.03,92.39,80.22,100,100,100,50.65,61.39,56.78,74.19,64.68,0,78.73,83.87,67.41,100,88.39,57.17,78.73,61.22,0,570000,2730000,baseline_percentile_v1_pending_model_fe,75,2160000,378.95,100,undervalued,저평가,100,66.4,14.8,18.94,35.47,baseline percentile compares role percentile 66.4 with salary percentile 14.8; final model result is pending.,true,78.73,92.39,100,61.39,100,22_24,500k_1_5m,rotation,false,true,false,false
2025-2026|bundesliga|augsburg|cedriczesiger,Cedric Zesiger,2025-2026,Bundesliga,Augsburg,DF,DF,27,ch SUI,2080000,true,true,27,20,1816,20.2,rotation,shot_creating_actions_imputed;recoveries_imputed,0,0,0,0,0,0,85,0.91,40,-14,16,24,3.03,61.91,52,86.68,100,82.24,77.45,81.23,65.68,84.11,75.77,0,75.7,54.97,72.77,88.46,92.85,73.48,88.16,75.7,0,2080000,2220000,baseline_percentile_v1_pending_model_fe,75,140000,6.73,54.84,fair,적정,53.28,59.07,56.8,64.89,60.13,baseline percentile compares role percentile 59.07 with salary percentile 56.8; final model result is pending.,true,75.7,61.91,89.12,81.23,54.84,25_27,1_5m_3m,starter,false,true,false,true
2025-2026|bundesliga|augsburg|chrislainmatsima,Chrislain Matsima,2025-2026,Bundesliga,Augsburg,DF,DF,23,fr FRA,2260000,true,true,18,17,1489,16.5,rotation,shot_creating_actions_imputed;recoveries_imputed,1,0,1,2,1,0,87,0.91,33,-10,4,11,3.03,81.43,79.19,91.28,100,88.37,50.42,58.08,53.91,79.81,44.05,0,79.86,79.86,62.81,92.44,90.91,54.67,80.43,52.83,0,2260000,3004236,baseline_percentile_v1_pending_model_fe,75,744236,32.93,72.1,fair,적정,58.5,68.67,60,69.36,48.27,baseline percentile compares role percentile 68.67 with salary percentile 60; final model result is pending.,true,79.86,81.43,92.88,58.08,72.1,22_24,1_5m_3m,rotation,true,false,false,false
2025-2026|bundesliga|augsburg|dimitriosgiannoulis,Dimitrios Giannoulis,2025-2026,Bundesliga,Augsburg,MF,MF,29,gr GRE,1320000,true,true,27,25,1888,21,rotation,shot_creating_actions_imputed;recoveries_imputed,2,0,5,7,2,0,74,0.91,39,-7,20,20,3.03,72.9,80.01,82.99,100,77.32,77.4,80.7,70.15,89.43,71.84,0,77.88,77.88,76.49,85.26,95.24,75.29,90.42,75.4,0,1320000,2450000,baseline_percentile_v1_pending_model_fe,75,1130000,85.61,99.01,undervalued,저평가,73.6,64.57,43.02,46.6,70.49,baseline percentile compares role percentile 64.57 with salary percentile 43.02; final model result is pending.,true,77.88,72.9,86.11,80.7,99.01,28_30,500k_1_5m,starter,false,true,false,true
2025-2026|bundesliga|augsburg|eliassaad,Elias Saad,2025-2026,Bundesliga,Augsburg,"MF,FW",MF,25,tn TUN,940000,true,true,10,7,497,5.5,limited,shot_creating_actions_imputed;recoveries_imputed,0,0,0,0,0,0,62,0.91,14,-5,12,8,3.03,40.12,30.49,74.52,100,66.03,37.74,49.91,44.12,69.6,52.51,0,49.24,33.38,41.01,77.92,86.32,44.87,73.8,49.24,0,940000,750000,baseline_percentile_v1_pending_model_fe,75,-190000,-20.21,33.88,fair,적정,37.81,22.2,31.45,35.11,20.63,baseline percentile compares role percentile 22.2 with salary percentile 31.45; final model result is pending.,true,49.24,40.12,79.19,49.91,33.88,25_27,500k_1_5m,rotation,false,true,false,false
2025-2026|bundesliga|augsburg|elvisrexhbecaj,Elvis Rexhbecaj,2025-2026,Bundesliga,Augsburg,MF,MF,27,xk KVX,1510000,true,true,26,10,1118,12.4,rotation,shot_creating_actions_imputed;recoveries_imputed,2,0,0,2,2,0,71,0.91,21,-1,16,8,3.03,63.63,57.56,80.32,100,73.76,47.78,56.89,55.58,76.67,57.29,0,59.38,59.38,55.15,82.94,89.5,54.48,78.72,56.68,0,1510000,1090000,baseline_percentile_v1_pending_model_fe,75,-420000,-27.81,26.71,overvalued,고평가,34.94,34.6,49.03,53.83,43.66,baseline percentile compares role percentile 34.6 with salary percentile 49.03; final model result is pending.,true,59.38,63.63,83.93,56.89,26.71,25_27,1_5m_3m,rotation,false,true,false,false
